# IEC 60052:2002 -- disruptive-discharge voltages of standard sphere gaps
# Sphere diameter D = 50 cm, one sphere earthed, dry air at 20 C and 1013 mbar.
# Columns: p*d (bar.mm, = gap spacing in mm at 1 bar)   disruptive-discharge voltage (kV, peak)
#
  20.0   59.0
  22.0   64.5
  24.0   70.0
  26.0   75.5
  28.0   81.0
  30.0   86.0
  35.0   99.0
  40.0  112.0
  45.0  125.0
  50.0  138.0
  55.0  151.0
  60.0  164.0
  65.0  177.0
  70.0  189.0
  75.0  202.0
  80.0  214.0
  90.0  239.0
 100.0  263.0
 110.0  286.0
 120.0  309.0
 130.0  331.0
 140.0  353.0
 150.0  373.0
 160.0  392.0
 170.0  411.0
 180.0  429.0
 190.0  445.0
 200.0  460.0
 220.0  489.0
 240.0  515.0
