# IEC 60052:2002 -- disruptive-discharge voltages of standard sphere gaps
# Sphere diameter D = 75 cm, one sphere earthed, dry air at 20 C and 1013 mbar.
# Columns: p*d (bar.mm, = gap spacing in mm at 1 bar)   disruptive-discharge voltage (kV, peak)
#
  20.0   59.0
  22.0   64.5
  24.0   70.0
  26.0   75.5
  28.0   81.0
  30.0   86.0
  35.0   99.0
  40.0  112.0
  45.0  125.0
  50.0  138.0
  55.0  151.0
  60.0  164.0
  65.0  177.0
  70.0  190.0
  75.0  203.0
  80.0  215.0
  90.0  240.0
 100.0  265.0
 110.0  290.0
 120.0  315.0
 130.0  339.0
 140.0  363.0
 150.0  387.0
 160.0  410.0
 170.0  432.0
 180.0  453.0
 190.0  473.0
 200.0  492.0
 220.0  530.0
 240.0  565.0
 260.0  600.0
 280.0  635.0
 300.0  665.0
 320.0  695.0
 340.0  725.0
 360.0  750.0
