# IEC 60052:2002 -- disruptive-discharge voltages of standard sphere gaps
# Sphere diameter D = 5 cm, one sphere earthed, dry air at 20 C and 1013 mbar.
# Columns: p*d (bar.mm, = gap spacing in mm at 1 bar)   disruptive-discharge voltage (kV, peak)
#
   2.0    8.0
   2.5    9.6
   3.0   11.2
   4.0   14.3
   5.0   17.4
   6.0   20.4
   7.0   23.4
   8.0   26.3
   9.0   29.2
  10.0   32.0
  12.0   37.6
  14.0   42.9
  15.0   45.5
  16.0   48.1
  18.0   53.0
  20.0   57.5
  22.0   61.5
  24.0   65.5
