# Pointwise relative error of two-stream fit to Zheleznyak (1982)
# Generated:  2026-05-05T08:42:07
# Command:    Zheleznyak.py --ngroups 8 --threshold 1E-6 --write-to-file zheleznyak
# ngroups=8,  n_kept=6,  threshold=1.0e-06
# RMS relative error = 0.484 %
# 
# Columns:
#   chi            : reduced path length p_O2*r  [Pa m]
#   rel_error_pct  : |K_twostream - K_zheleznyak| / K_zheleznyak * 100  [%]
#
#                    chi           rel_error_pct
          1.23913961e-02          3.13192342e-01
          1.24407393e-02          3.13073828e-01
          1.24902791e-02          3.12954854e-01
          1.25400161e-02          3.12835418e-01
          1.25899511e-02          3.12715518e-01
          1.26400850e-02          3.12595152e-01
          1.26904186e-02          3.12474318e-01
          1.27409526e-02          3.12353015e-01
          1.27916878e-02          3.12231241e-01
          1.28426250e-02          3.12108994e-01
          1.28937651e-02          3.11986273e-01
          1.29451088e-02          3.11863075e-01
          1.29966569e-02          3.11739399e-01
          1.30484104e-02          3.11615243e-01
          1.31003699e-02          3.11490605e-01
          1.31525363e-02          3.11365484e-01
          1.32049105e-02          3.11239876e-01
          1.32574932e-02          3.11113782e-01
          1.33102853e-02          3.10987199e-01
          1.33632876e-02          3.10860124e-01
          1.34165010e-02          3.10732557e-01
          1.34699262e-02          3.10604495e-01
          1.35235643e-02          3.10475936e-01
          1.35774159e-02          3.10346879e-01
          1.36314819e-02          3.10217321e-01
          1.36857633e-02          3.10087262e-01
          1.37402608e-02          3.09956698e-01
          1.37949753e-02          3.09825628e-01
          1.38499076e-02          3.09694051e-01
          1.39050588e-02          3.09561963e-01
          1.39604295e-02          3.09429364e-01
          1.40160207e-02          3.09296251e-01
          1.40718333e-02          3.09162623e-01
          1.41278682e-02          3.09028477e-01
          1.41841262e-02          3.08893811e-01
          1.42406082e-02          3.08758625e-01
          1.42973151e-02          3.08622914e-01
          1.43542478e-02          3.08486679e-01
          1.44114073e-02          3.08349916e-01
          1.44687943e-02          3.08212624e-01
          1.45264099e-02          3.08074800e-01
