# Convolution of a Gaussian source with Zheleznyak and two-stream kernels
# Generated:  2026-05-05T08:42:07
# Command:    Zheleznyak.py --ngroups 8 --threshold 1E-6 --write-to-file zheleznyak
# ngroups=8,  n_kept=6,  threshold=1.0e-06
# Source: Gaussian centred at 0.3*x_max, sigma = 0.04*x_max
# x_max = 1.523680e+02 Pa m  (= 4 / lambda1)
# All convolution values normalised by max(conv_zheleznyak)
# 
# Columns:
#   x                  : reduced coordinate p_O2*r  [Pa m]
#   source             : normalised Gaussian source (max = 1)  [dimensionless]
#   conv_zheleznyak    : photoionisation rate, Zheleznyak kernel, normalised  [dimensionless]
#   conv_twostream     : photoionisation rate, two-stream kernel, normalised  [dimensionless]
#
#                      x                  source         conv_zheleznyak          conv_twostream
          1.93321669e+01          7.32603166e-09          4.54181033e-02          4.56555467e-02
          1.95865376e+01          1.04956906e-08          4.62062248e-02          4.64413985e-02
          1.98409082e+01          1.49844306e-08          4.70137087e-02          4.72459031e-02
          2.00952788e+01          2.13184911e-08          4.78412384e-02          4.80697174e-02
          2.03496494e+01          3.02245382e-08          4.86895310e-02          4.89135330e-02
          2.06040200e+01          4.27021635e-08          4.95593397e-02          4.97780794e-02
          2.08583907e+01          6.01211221e-08          5.04514562e-02          5.06641264e-02
          2.11127613e+01          8.43512011e-08          5.13667132e-02          5.15724872e-02
          2.13671319e+01          1.17934931e-07          5.23059878e-02          5.25040216e-02
          2.16215025e+01          1.64316297e-07          5.32702043e-02          5.34596395e-02
          2.18758731e+01          2.28142299e-07          5.42603379e-02          5.44403051e-02
          2.21302437e+01          3.15658859e-07          5.52774186e-02          5.54470406e-02
          2.23846144e+01          4.35228318e-07          5.63225355e-02          5.64809314e-02
          2.26389850e+01          5.98002916e-07          5.73968417e-02          5.75431311e-02
          2.28933556e+01          8.18797394e-07          5.85015593e-02          5.86348669e-02
          2.31477262e+01          1.11721458e-06          5.96379851e-02          5.97574458e-02
          2.34020968e+01          1.51909080e-06          6.08074977e-02          6.09122619e-02
          2.36564674e+01          2.05834357e-06          6.20115639e-02          6.21008034e-02
          2.39108381e+01          2.77932281e-06          6.32517474e-02          6.33246614e-02
          2.41652087e+01          3.73978911e-06          6.45297172e-02          6.45855387e-02
          2.44195793e+01          5.01466847e-06          6.58472581e-02          6.58852605e-02
          2.46739499e+01          6.70076418e-06          6.72062812e-02          6.72257859e-02
          2.49283205e+01          8.92264132e-06          6.86088372e-02          6.86092200e-02
          2.51826912e+01          1.18399408e-05          7.00571294e-02          7.00378286e-02
          2.54370618e+01          1.56564257e-05          7.15535303e-02          7.15140537e-02
          2.56914324e+01          2.06311152e-05          7.31005981e-02          7.30405312e-02
          2.59458030e+01          2.70919198e-05          7.47010970e-02          7.46201098e-02
          2.62001736e+01          3.54522540e-05          7.63580183e-02          7.62558734e-02
          2.64545442e+01          4.62311734e-05          7.80746053e-02          7.79511648e-02
          2.67089149e+01          6.00776554e-05          7.98543797e-02          7.97096121e-02
          2.69632855e+01          7.77997190e-05          8.17011720e-02          8.15351589e-02
          2.72176561e+01          1.00399159e-04          8.36191547e-02          8.34320967e-02
          2.74720267e+01          1.29112745e-04          8.56128786e-02          8.54051007e-02
          2.77263973e+01          1.65460812e-04          8.76873139e-02          8.74592699e-02
          2.79807679e+01          2.11304224e-04          8.98478941e-02          8.96001704e-02
          2.82351386e+01          2.68910773e-04          9.21005645e-02          9.18338827e-02
          2.84895092e+01          3.41032067e-04          9.44518349e-02          9.41670531e-02
          2.87438798e+01          4.30992018e-04          9.69088366e-02          9.66069499e-02
          2.89982504e+01          5.42787991e-04          9.94793835e-02          9.91615224e-02
          2.92526210e+01          6.81205630e-04          1.02172038e-01          1.01839466e-01
          2.95069917e+01          8.51948260e-04          1.04996178e-01          1.04650288e-01
          2.97613623e+01          1.06178163e-03          1.07962074e-01          1.07604380e-01
          3.00157329e+01          1.31869447e-03          1.11080961e-01          1.10713092e-01
          3.02701035e+01          1.63207518e-03          1.14365116e-01          1.13988809e-01
          3.05244741e+01          2.01290429e-03          1.17827939e-01          1.17445024e-01
          3.07788447e+01          2.47396236e-03          1.21484033e-01          1.21096422e-01
          3.10332154e+01          3.03005173e-03          1.25349276e-01          1.24958949e-01
          3.12875860e+01          3.69823063e-03          1.29440899e-01          1.29049888e-01
          3.15419566e+01          4.49805679e-03          1.33777554e-01          1.33387925e-01
          3.17963272e+01          5.45183711e-03          1.38379369e-01          1.37993204e-01
          3.20506978e+01          6.58487905e-03          1.43268004e-01          1.42887382e-01
          3.23050684e+01          7.92573827e-03          1.48466678e-01          1.48093655e-01
          3.25594391e+01          9.50645606e-03          1.54000191e-01          1.53636779e-01
          3.28138097e+01          1.13627789e-02          1.59894921e-01          1.59543065e-01
          3.30681803e+01          1.35343519e-02          1.66178787e-01          1.65840348e-01
          3.33225509e+01          1.60648755e-02          1.72881199e-01          1.72557930e-01
          3.35769215e+01          1.90022163e-02          1.80032957e-01          1.79726489e-01
          3.38312922e+01          2.23984593e-02          1.87666129e-01          1.87377944e-01
          3.40856628e+01          2.63098898e-02          1.95813868e-01          1.95545293e-01
          3.43400334e+01          3.07968930e-02          2.04510204e-01          2.04262386e-01
          3.45944040e+01          3.59237590e-02          2.13789766e-01          2.13563667e-01
          3.48487746e+01          4.17583796e-02          2.23687469e-01          2.23483851e-01
          3.51031452e+01          4.83718274e-02          2.34238133e-01          2.34057553e-01
          3.53575159e+01          5.58378061e-02          2.45476055e-01          2.45318860e-01
          3.56118865e+01          6.42319625e-02          2.57434519e-01          2.57300842e-01
          3.58662571e+01          7.36310563e-02          2.70145253e-01          2.70035018e-01
          3.61206277e+01          8.41119815e-02          2.83637832e-01          2.83550758e-01
          3.63749983e+01          9.57506412e-02          2.97939033e-01          2.97874639e-01
          3.66293689e+01          1.08620679e-01          3.13072143e-01          3.13029763e-01
          3.68837396e+01          1.22792072e-01          3.29056234e-01          3.29035029e-01
          3.71381102e+01          1.38329605e-01          3.45905410e-01          3.45904381e-01
          3.73924808e+01          1.55291233e-01          3.63628033e-01          3.63646043e-01
          3.76468514e+01          1.73726366e-01          3.82225952e-01          3.82261746e-01
          3.79012220e+01          1.93674090e-01          4.01693736e-01          4.01745963e-01
          3.81555927e+01          2.15161374e-01          4.22017938e-01          4.22085169e-01
          3.84099633e+01          2.38201278e-01          4.43176397e-01          4.43257155e-01
          3.86643339e+01          2.62791225e-01          4.65137607e-01          4.65230385e-01
          3.89187045e+01          2.88911364e-01          4.87860156e-01          4.87963441e-01
          3.91730751e+01          3.16523082e-01          5.11292274e-01          5.11404569e-01
          3.94274457e+01          3.45567697e-01          5.35371485e-01          5.35491331e-01
          3.96818164e+01          3.75965407e-01          5.60024406e-01          5.60150398e-01
          3.99361870e+01          4.07614503e-01          5.85166679e-01          5.85297485e-01
          4.01905576e+01          4.40390928e-01          6.10703084e-01          6.10837457e-01
          4.04449282e+01          4.74148186e-01          6.36527812e-01          6.36664605e-01
          4.06992988e+01          5.08717662e-01          6.62524932e-01          6.62663103e-01
          4.09536694e+01          5.43909361e-01          6.88569044e-01          6.88707667e-01
          4.12080401e+01          5.79513082e-01          7.14526121e-01          7.14664387e-01
          4.14624107e+01          6.15300049e-01          7.40254545e-01          7.40391764e-01
          4.17167813e+01          6.51024973e-01          7.65606316e-01          7.65741919e-01
          4.19711519e+01          6.86428554e-01          7.90428444e-01          7.90561974e-01
          4.22255225e+01          7.21240370e-01          8.14564480e-01          8.14695594e-01
          4.24798932e+01          7.55182136e-01          8.37856197e-01          8.37984654e-01
          4.27342638e+01          7.87971269e-01          8.60145368e-01          8.60271025e-01
          4.29886344e+01          8.19324706e-01          8.81275636e-01          8.81398439e-01
          4.32430050e+01          8.48962903e-01          9.01094431e-01          9.01214404e-01
          4.34973756e+01          8.76613934e-01          9.19454908e-01          9.19572146e-01
          4.37517462e+01          9.02017616e-01          9.36217866e-01          9.36332525e-01
          4.40061169e+01          9.24929568e-01          9.51253617e-01          9.51365906e-01
          4.42604875e+01          9.45125109e-01          9.64443762e-01          9.64553934e-01
