# Zheleznyak (1982) absorption curve and two-stream fit
# Generated:  2026-05-05T08:42:07
# Command:    Zheleznyak.py --ngroups 8 --threshold 1E-6 --write-to-file zheleznyak
# ngroups=8,  n_kept=6,  threshold=1.0e-06
# lambda1 = 2.625223e-02 m^-1 Pa^-1,  lambda2 = 1.500128e+00 m^-1 Pa^-1
# RMS relative error = 0.484 %
# 
# Columns:
#   chi            : reduced path length p_O2*r  [Pa m]
#   K_zheleznyak   : Zheleznyak (1982) absorption function  [m^-1 Pa^-1]
#   K_twostream    : two-stream fit, integral-normalised to K_zheleznyak  [m^-1 Pa^-1]
#   group_1_kappa2.689e-02: group 1: kappa=2.6888e-02 m^-1 Pa^-1,  g=1.5808e-02  [m^-1 Pa^-1]
#   group_2_kappa3.061e-02: group 2: kappa=3.0612e-02 m^-1 Pa^-1,  g=5.4157e-02  [m^-1 Pa^-1]
#   group_3_kappa4.482e-02: group 3: kappa=4.4820e-02 m^-1 Pa^-1,  g=1.4351e-01  [m^-1 Pa^-1]
#   group_4_kappa1.002e-01: group 4: kappa=1.0021e-01 m^-1 Pa^-1,  g=2.4996e-01  [m^-1 Pa^-1]
#   group_5_kappa3.157e-01: group 5: kappa=3.1572e-01 m^-1 Pa^-1,  g=3.0500e-01  [m^-1 Pa^-1]
#   group_6_kappa1.007e+00: group 6: kappa=1.0071e+00 m^-1 Pa^-1,  g=2.3157e-01  [m^-1 Pa^-1]
#
#                      chi              K_zheleznyak               K_twostream    group_1_kappa2.689e-02    group_2_kappa3.061e-02    group_3_kappa4.482e-02    group_4_kappa1.002e-01    group_5_kappa3.157e-01    group_6_kappa1.007e+00
            7.45072378e-03            1.46552550e+00            1.46076084e+00            1.71915557e-03            6.70536262e-03            2.60117759e-02            1.01261739e-01            3.88642453e-01            9.36420354e-01
            7.48039298e-03            1.46549238e+00            1.46072888e+00            1.71915420e-03            6.70535653e-03            2.60117413e-02            1.01261438e-01            3.88638813e-01            9.36392374e-01
            7.51018034e-03            1.46545912e+00            1.46069679e+00            1.71915282e-03            6.70535042e-03            2.60117066e-02            1.01261135e-01            3.88635158e-01            9.36364284e-01
            7.54008631e-03            1.46542574e+00            1.46066457e+00            1.71915144e-03            6.70534428e-03            2.60116717e-02            1.01260832e-01            3.88631488e-01            9.36336083e-01
            7.57011136e-03            1.46539222e+00            1.46063223e+00            1.71915005e-03            6.70533812e-03            2.60116367e-02            1.01260527e-01            3.88627804e-01            9.36307771e-01
            7.60025598e-03            1.46535856e+00            1.46059976e+00            1.71914866e-03            6.70533193e-03            2.60116015e-02            1.01260221e-01            3.88624106e-01            9.36279346e-01
            7.63052063e-03            1.46532478e+00            1.46056716e+00            1.71914726e-03            6.70532572e-03            2.60115663e-02            1.01259914e-01            3.88620392e-01            9.36250810e-01
            7.66090581e-03            1.46529086e+00            1.46053443e+00            1.71914586e-03            6.70531948e-03            2.60115308e-02            1.01259606e-01            3.88616664e-01            9.36222160e-01
            7.69141197e-03            1.46525681e+00            1.46050157e+00            1.71914445e-03            6.70531322e-03            2.60114953e-02            1.01259296e-01            3.88612921e-01            9.36193397e-01
            7.72203961e-03            1.46522262e+00            1.46046858e+00            1.71914303e-03            6.70530693e-03            2.60114596e-02            1.01258985e-01            3.88609164e-01            9.36164521e-01
            7.75278922e-03            1.46518830e+00            1.46043546e+00            1.71914161e-03            6.70530062e-03            2.60114237e-02            1.01258673e-01            3.88605391e-01            9.36135531e-01
            7.78366127e-03            1.46515384e+00            1.46040221e+00            1.71914018e-03            6.70529428e-03            2.60113877e-02            1.01258360e-01            3.88601603e-01            9.36106426e-01
